图书名,价格,出版社,出版年,国家,作者
一句顶一万句,29.8,长江文艺出版社,2009,中国,刘震云
阿勒泰的角落,25.0,万卷出版公司,2010,中国,李娟
鹿川有许多粪,58.0,武汉大学出版社,2021,中国,李沧东
檀香刑,56.0,浙江文艺出版社,2017,中国,莫言
地下室手记,39.8,浙江文艺出版社,2020,俄罗斯,陀思妥耶夫斯基
强风吹拂,39.0,广西师范大学出版社,2015,中国,三浦紫苑
國史大綱（上下）,76.0,商务印书馆,2013,中国,錢穆
全球通史(上)：从史前史到21世纪,42.0,北京大学出版社,2006,美,斯塔夫里阿诺斯
安娜·卡列尼娜,37.0,上海文艺出版社,2007,俄,列夫·托尔斯泰
苏菲的世界,26.0,作家出版社,2007,挪,乔斯坦·贾德
一个陌生女人的来信,20.0,上海译文出版社,2007,奥,斯蒂芬·茨威格
万水千山走遍,13.8,哈尔滨出版社,2003,中国,三毛
德米安：埃米尔·辛克莱的彷徨少年时,25.0,上海人民出版社,2009,德,赫尔曼·黑塞
翦商：殷周之变与华夏新生,99.0,广西师范大学出版社,2022,中国,李硕
温柔的夜,28.0,北京十月文艺出版社,2007,中国,三毛
史蒂夫·乔布斯传,68.0,中信出版社,2011,美,沃尔特·艾萨克森
亮剑,28.0,解放军文艺出版社,2005,中国,都梁
爱的艺术,15.0,上海译文出版社,2008,美,艾·弗洛姆
我不知道该说什么，关于死亡还是爱情：来自切尔诺贝利的声音,34.8,花城出版社,2014,白俄,S·A·阿列克谢耶维奇
霸王别姬,10.2,人民文学出版社,1999,中国,李碧华
半生缘：张爱玲全集04——小说,29.6,北京十月文艺出版社,2012,中国,张爱玲
球状闪电,22.0,四川科学技术出版社,2005,中国,刘慈欣
不能承受的生命之轻：中文全译本百万纪念版,29.0,上海译文出版社,2010,中国,米兰·昆德拉
草房子,18.0,江苏少年儿童出版社,2009,中国,曹文轩
冰与火之歌：（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,330.0,重庆出版社,2013,美,乔治·R.R.马丁
古文观止,21.0,中华书局,1987,中国,吴楚材
我的阿勒泰,22.0,云南人民出版社,2010,中国,李娟
恶意,39.5,南海出版公司,2016,日,东野圭吾
倾城之恋：张爱玲全集01——小说,29.8,北京十月文艺出版社,2012,中国,张爱玲
海风中失落的血色馈赠,20.0,上海文艺出版社,2015,加拿大,阿利斯泰尔·麦克劳德
天朝的崩溃：鸦片战争再研究（修订版）,59.0,生活·读书·新知三联书店,2014,中国,茅海建
麦琪的礼物：欧·亨利短篇小说经典,25.0,上海社会科学院出版社,2003,美,欧·亨利
我也有一个梦想：近距离看美国之三,25.0,生活·读书·新知三联书店,2004,中国,林达
生死疲劳,69.9,浙江文艺出版社,2022,中国,莫言
社会心理学：（第8版）,68.0,人民邮电出版社,2006,美,戴维·迈尔斯
天生有罪：特雷弗·诺亚的变色人生,58.0,北京联合出版公司,2018,南非,特雷弗·诺亚
激荡三十年（上）：中国企业1978-2008,35.0,中信出版社 浙江人民出版社,2007,中国,吴晓波
亲密关系,138.0,人民邮电出版社,2015,美,罗兰·米勒（Rowland S. Miller）
一桩事先张扬的凶杀案,25.0,南海出版公司,2013,哥伦比亚,加西亚·马尔克斯
东晋门阀政治,49.0,北京大学出版社,2012,中国,田余庆
李光耀观天下,58.0,北京大学出版社,2015,中国,李光耀
雕刻时光,45.0,南海出版公司,2016,苏,安德烈·塔可夫斯基
万物有灵且美,28.8,中国城市出版社,2010,英,吉米·哈利
情书,18.0,天津人民出版社,2004,日,岩井俊二
在细雨中呼喊,25.0,作家出版社,2012,中国,余华
尼罗河上的惨案,22.0,人民文学出版社,2006,英,阿加莎·克里斯蒂
倚天屠龙记,47.0,生活·读书·新知三联书店,1999,中国,金庸
理想国,28.0,商务印书馆,1986,古希腊,柏拉图
罗生门,12.0,上海译文出版社,2008,日,芥川龙之介
从零开始的女性主义,52.0,北京联合出版公司,2021,日本,上野千鹤子
荒原狼,13.0,上海译文出版社,2008,德,赫尔曼·黑塞
父权制与资本主义,58.0,浙江大学出版社,2020,日,上野千鹤子
当呼吸化为空气,48.0,浙江文艺出版社,2016,美,保罗·卡拉尼什
孙子兵法,20.0,上海古籍出版社,2006,中国,孙武
雷雨,9.2,人民文学出版社,1999,中国,曹禺
送你一颗子弹,25.0,上海三联书店,2010,中国,刘瑜
最好的我们,55,湖南文艺出版社,2013,中国,八月长安
水浒传（全二册）,50.6,人民文学出版社,1997,明,施耐庵
浮生六记,38,人民文学出版社,1999,清,沈复
一千零一夜,22.0,人民文学出版社,2003,中国,纳训
孩子你慢慢来,28.0,生活·读书·新知三联书店,2009,中国,龙应台
九州·缥缈录,20.0,新世界出版社,2005,中国,江南
雨季不再来,28.0,北京十月文艺出版社,2007,中国,三毛
银河帝国：基地七部曲：百万册纪念版,328.0,江苏凤凰文艺出版社,2015,美,艾萨克·阿西莫夫
现代艺术150年：一个未完成的故事,65.0,广西师范大学出版社,2017,英,威尔·贡培兹
渴望生活：梵高传,29.8,北京十月文艺出版社,2008,美,欧文·斯通
银河系漫游指南,16.0,四川科学技术出版社,2005,英,道格拉斯·亚当斯
庄子,20.0,中华书局,2007,中国,孙通海 译注
骆驼祥子,12.0,人民文学出版社,1962,中国,老舍
论语,9.8,中华书局,2006,中国,刘胜利
足利女童连续失踪事件,49.0,文汇出版社,2022,日,清水洁
野火集：二十年纪念版,25.0,文汇出版社,2005,中国,龙应台
不存在的骑士,22.0,译林出版社,2012,意,伊塔洛·卡尔维诺
你一生的故事：特德·姜科幻小说集,36.0,译林出版社,2015,美,特德·姜
显微镜下的大明,52.0,湖南文艺出版社,2019,中国,马伯庸
帷幕：阿加莎·克里斯蒂作品33,26.0,新星出版社,2015,英,阿加莎·克里斯蒂
象棋的故事,23.0,上海译文出版社,2007,奥,斯蒂芬·茨威格
跨越边界的社区（修订版）：北京“浙江村”的生活史,68.0,生活·读书·新知三联书店,2018,中国,项飙
